,0
2541,88
2542,84
2543,82
2544,81
2545,82
2546,83
2547,84
2548,76
2549,75
2550,75
2551,78
2552,79
2553,80
2554,76
2555,77
2556,79
2557,79
2558,80
2559,81
2560,82
2561,84
2562,86
2563,90
2564,96
2565,105
2566,109
2567,112
2568,110
2569,99
2570,97
2571,97
2572,103
2573,104
2574,98
2575,88
2576,85
2577,84
2578,85
2579,87
2580,94
2581,99
2582,104
2583,108
2584,108
2585,108
2586,109
2587,108
2588,87
2589,86
2590,89
2591,96
2592,99
2593,95
2594,97
2595,98
2596,103
2597,104
2598,103
2599,97
2600,94
2601,98
2602,100
2603,98
2604,98
2605,97
2606,98
2607,100
2608,102
2609,105
2610,109
2611,114
2612,121
2613,125
2614,127
2615,126
2616,124
2617,124
2618,124
2619,122
2620,122
2621,124
2622,126
2623,122
2624,120
2625,119
2626,121
2627,123
2628,127
2629,129
2630,131
2631,131
2632,130
2633,127
2634,122
2635,118
2636,115
2637,112
2638,114
2639,115
2640,109
2641,96
2642,101
2643,102
2644,102
2645,101
2646,91
2647,90
2648,91
2649,95
2650,100
2651,102
2652,105
2653,105
2654,109
2655,114
2656,116
2657,116
2658,125
2659,128
2660,129
2661,127
2662,124
2663,122
2664,123
2665,123
2666,122
2667,121
2668,122
2669,122
2670,122
2671,119
2672,117
2673,117
2674,118
2675,121
2676,122
2677,123
2678,121
2679,115
2680,118
2681,121
2682,119
2683,116
2684,116
2685,117
2686,119
2687,119
2688,105
2689,98
2690,103
2691,104
2692,108
2693,113
2694,118
2695,119
2696,120
2697,126
2698,129
2699,133
2700,137
2701,136
2702,136
2703,136
2704,136
2705,138
2706,140
2707,140
2708,139
2709,137
2710,128
2711,119
2712,117
2713,118
2714,122
2715,124
2716,128
2717,126
2718,125
2719,126
2720,128
2721,128
2722,128
2723,127
2724,125
2725,126
2726,126
2727,126
2728,125
2729,124
2730,120
2731,118
2732,111
2733,109
2734,100
2735,94
2736,99
2737,102
2738,105
2739,106
2740,103
2741,105
2742,105
2743,104
2744,100
2745,100
2746,98
2747,96
2748,98
2749,98
2750,96
2751,92
2752,98
2753,103
2754,106
2755,103
2756,100
2757,100
2758,99
2759,87
2760,79
2761,76
2762,75
2763,75
2764,74
2765,77
2766,77
2767,79
2768,88
2769,94
2770,101
2771,103
2772,103
2773,101
2774,103
2775,105
2776,117
2777,124
2778,127
2779,133
2780,140
2781,145
2782,148
2783,149
2784,148
2785,144
2786,141
2787,138
2788,138
2789,139
2790,140
2791,143
2792,145
2793,145
2794,145
2795,146
2796,144
2797,143
2798,142
2799,142
2800,142
2801,141
2802,136
2803,132
2804,128
2805,126
2806,122
2807,123
2808,123
2809,122
2810,121
2811,120
2812,121
2813,108
2814,102
2815,101
2816,105
2817,105
2818,106
2819,108
2820,107
2821,102
2822,101
2823,92
2824,89
2825,87
2826,91
2827,106
2828,111
2829,119
2830,133
2831,136
2832,136
2833,134
2834,123
2835,121
2836,122
2837,124
2838,122
2839,122
2840,124
2841,129
2842,132
2843,136
2844,136
2845,136
2846,136
2847,132
2848,132
2849,130
2850,129
2851,128
2852,123
2853,122
2854,116
2855,115
2856,117
2857,118
2858,117
2859,110
2860,106
2861,109
2862,110
2863,107
2864,110
2865,112
2866,115
2867,113
2868,109
2869,109
2870,112
2871,120
2872,133
2873,140
2874,146
2875,152
2876,158
2877,160
2878,165
2879,165
2880,166
2881,168
2882,170
2883,170
2884,171
2885,169
2886,167
2887,159
2888,153
2889,149
2890,147
2891,143
2892,141
2893,140
2894,135
2895,131
2896,129
2897,127
2898,127
2899,129
2900,125
2901,124
2902,112
2903,110
2904,109
2905,107
2906,107
2907,96
2908,94
2909,93
2910,87
2911,84
2912,85
2913,86
2914,86
2915,86
2916,85
2917,88
2918,87
2919,86
2920,85
2921,87
2922,87
2923,86
2924,85
2925,85
2926,87
2927,86
2928,88
2929,88
2930,86
2931,85
2932,84
2933,84
2934,83
2935,83
2936,84
2937,80
2938,79
2939,78
2940,77
2941,78
2942,80
2943,79
2944,80
2945,81
2946,82
2947,102
2948,110
2949,122
2950,131
2951,132
2952,135
2953,137
2954,143
2955,150
2956,155
2957,160
2958,166
2959,167
2960,169
2961,170
2962,171
2963,172
2964,172
2965,169
2966,167
2967,163
2968,159
2969,154
2970,150
2971,146
2972,143
2973,139
2974,135
2975,134
2976,133
2977,128
2978,127
2979,122
2980,120
2981,118
2982,112
2983,109
2984,107
2985,107
2986,109
2987,112
2988,110
2989,99
2990,96
2991,94
2992,96
2993,85
2994,82
2995,82
